ReservoirName,DamType,FacilityAim,DamHeight,CrestLevel,CrestLength,ImpoundmentVolume,ImpoundmentLevel,StorageLevel,Construction,StartSuperVision,DamName,easting_m,northing_m
Gelmer,dt5,fa2,35.000000000000000,1850.740000000000009,370.000000000000000,13.000000000000000,1849.740000000000009,30.739999999999998,1929,1/1/1954,Gelmer,2667640.337000001221895,1162669.719999998807907
Giétroz-du-Fond,dt5,fa2,13.900000000000000,1816.500000000000000,22.399999999999999,0.020000000000000,1815.799999999999955,11.800000000000001,1965,1/1/1965,Giétroz-du-Fond,2556999.465999998152256,1109860.388000000268221
Gigerwald,dt8,fa2,137.000000000000000,1337.000000000000000,430.000000000000000,35.000000000000000,1335.000000000000000,122.000000000000000,1976,1/1/1976,Gigerwald,2748740.670000001788139,1197579.717999998480082
Godey,dt7,fa2,35.000000000000000,1401.000000000000000,170.000000000000000,0.930000000000000,1398.000000000000000,32.000000000000000,1974,1/1/1974,Godey,2584429.522999998182058,1126400.225999999791384
Göscheneralp,dt3,fa2,155.000000000000000,1797.000000000000000,540.000000000000000,76.000000000000000,1792.000000000000000,95.000000000000000,1960,1/1/1960,Göscheneralp,2681110.445999998599291,1166579.686999998986721
Göschenerreuss,dt5,fa2,35.000000000000000,1085.000000000000000,53.000000000000000,0.100000000000000,1083.750000000000000,24.750000000000000,1948,1/1/1954,Göschenerreuss,2688130.432000000029802,1169129.614999998360872
Gösgen,dt1,fa2,18.000000000000000,390.240000000000009,98.000000000000000,1.400000000000000,388.139999999999986,8.550000000000001,1917,1/1/2015,Gösgen,2636521.570999998599291,1246104.199000000953674
Grande Dixence,dt5,fa2,285.000000000000000,2365.000000000000000,695.000000000000000,385.000000000000000,2364.000000000000000,284.000000000000000,1961,7/10/1972,Grande Dixence,2597249.318999998271465,1103229.896000001579523
Greuel,dt7,fa1,17.000000000000000,503.000000000000000,157.000000000000000,0.110000000000000,501.000000000000000,10.000000000000000,1984,1/1/1984,Greuel,2668390.813999999314547,1234679.914000000804663
Gries,dt5,fa2,60.000000000000000,2387.500000000000000,400.000000000000000,18.699999999999999,2386.500000000000000,59.000000000000000,1965,1/1/1965,Gries,2671560.085000000894070,1145969.686999998986721
Gruben,dt7,fa7,17.000000000000000,0.000000000000000,0.000000000000000,0.159000000000000,2347.000000000000000,0.000000000000000,1995,1/1/2022,Gruben,2621627.622999999672174,1117229.026000000536442
Gübsensee,dt7,fa2,7.000000000000000,684.000000000000000,210.000000000000000,0.960000000000000,682.299999999999955,10.300000000000001,1900,1/1/1954,Gübsensee Nord,2741540.646000001579523,1251579.662999998778105
Gübsensee,dt5,fa2,24.000000000000000,683.549999999999955,105.000000000000000,0.960000000000000,682.299999999999955,10.300000000000001,1900,1/1/1954,Gübsensee Ost,2742130.640999998897314,1251599.651999998837709
Gübsensee,dt7,fa2,17.000000000000000,684.000000000000000,170.000000000000000,0.960000000000000,682.299999999999955,10.300000000000001,1900,1/1/1954,Gübsensee West,2741010.655999999493361,1251349.668999999761581
Hagneck,dt1,fa2,15.000000000000000,438.750000000000000,100.000000000000000,0.550000000000000,437.750000000000000,7.650000000000000,2015,1/1/2023,Hagneck,2580151.125999998301268,1212120.449000000953674
Handeck,dt7,fa2,16.000000000000000,1302.940000000000055,145.000000000000000,0.082000000000000,1301.740000000000009,9.199999999999999,1942,1/1/1954,Handeck,2666480.339000001549721,1163319.715999998152256
Heidsee oberer,dt7,fa5,5.000000000000000,1485.690000000000055,360.000000000000000,0.490000000000000,1484.190000000000055,2.250000000000000,1919,1/1/1954,"Heidsee, Oberer",2761430.839000001549721,1178509.715999998152256
Heidsee unterer,dt7,fa5,10.000000000000000,1483.740000000000009,180.000000000000000,0.230000000000000,1482.440000000000055,8.000000000000000,1919,1/1/1954,"Heidsee, Unterer",2761410.837000001221895,1178129.717000000178814
Hintersand,dt7,fa2,10.000000000000000,1299.000000000000000,400.000000000000000,0.110000000000000,1298.000000000000000,6.750000000000000,1962,1/1/1962,Hintersand,2715640.624000001698732,1188929.609999999403954
Hongrin,dt8,fa2,123.000000000000000,1257.000000000000000,325.000000000000000,53.200000000000003,1255.000000000000000,115.000000000000000,1969,1/1/1969,Hongrin Nord,2569659.572999998927116,1141620.300999999046326
Hongrin,dt8,fa2,95.000000000000000,1257.000000000000000,272.000000000000000,53.200000000000003,1255.000000000000000,115.000000000000000,1969,1/1/1969,Hongrin Sud,2569439.579999998211861,1141430.304000001400709
Sihlsee,dt7,fa2,15.000000000000000,892.429999999999950,155.000000000000000,50.799999999999997,889.340000000000032,27.000000000000000,1937,1/1/1954,Hühnermatt (Sihlsee),2700060.761999998241663,1221929.872999999672174
Illgraben,dt5,fa1,49.500000000000000,1041.500000000000000,64.500000000000000,0.300000000000000,1039.000000000000000,43.500000000000000,1969,1/1/1970,Illgraben,2613939.585000000894070,1125800.030000001192093
Illsee,dt5,fa2,25.000000000000000,2361.320000000000164,270.000000000000000,6.500000000000000,2360.000000000000000,25.000000000000000,1927,1/1/1954,Illsee,2614969.486000001430511,1123089.945999998599291
Sihlsee,dt5,fa2,33.500000000000000,891.740000000000009,127.200000000000003,50.799999999999997,889.340000000000032,27.000000000000000,1936,1/1/1954,In den Schlagen (Sihlsee),2701700.784000001847744,1223479.866999998688698
Ferrera,dt5,fa2,28.000000000000000,1446.000000000000000,61.000000000000000,0.320000000000000,1443.000000000000000,18.000000000000000,1961,2/10/1978,Innerferrera,2753300.703000001609325,1154779.522999998182058
Isola,dt6,fa2,45.000000000000000,1605.000000000000000,290.000000000000000,6.500000000000000,1604.000000000000000,41.000000000000000,1960,1/1/1960,Isola,2734490.719999998807907,1145319.495000001043081
Jonenbach,dt7,fa1,19.350000000000001,516.350000000000023,163.000000000000000,0.391000000000000,513.350000000000023,17.350000000000001,2006,1/1/2006,Jonenbach,2677230.813000001013279,1236339.848999999463558
Käppelistutz,dt5,fa2,16.539999999999999,797.799999999999955,44.700000000000003,0.060000000000000,795.500000000000000,14.240000000000000,1945,1/1/1954,Käppelistutz,2673830.721000000834465,1194069.771999999880791
Klingnau,dt1,fa2,15.000000000000000,320.000000000000000,133.500000000000000,3.010000000000000,318.399999999999977,5.420000000000000,1935,1/1/2015,Klingnau,2659120.057999998331070,1271803.170000001788139
La Fouly,dt5,fa2,18.000000000000000,1576.000000000000000,58.000000000000000,0.023000000000000,1574.000000000000000,8.000000000000000,1972,1/1/1972,La Fouly,2573449.032999999821186,1087250.291000001132488
Lago Bianco,dt5,fa2,12.900000000000000,2235.750000000000000,290.000000000000000,18.600000000000001,2234.650000000000091,16.300000000000001,1911,1/1/1954,Lago Bianco Nord,2797601.258000001311302,1143599.747000001370907
Lago Bianco,dt5,fa2,26.000000000000000,2237.000000000000000,190.000000000000000,18.600000000000001,2234.650000000000091,16.300000000000001,1911,1/1/1954,Lago Bianco Süd,2799301.304999999701977,1141199.774000000208616
Laufenburg,dt1,fa2,32.000000000000000,308.639999999999986,103.200000000000003,3.500000000000000,299.439999999999998,7.800000000000000,1914,1/1/2013,Laufenburg,2645900.796999998390675,1267500.307000000029802
Le Pontet,dt5,fa2,21.000000000000000,794.049999999999955,34.000000000000000,0.070000000000000,792.000000000000000,17.000000000000000,1970,1/1/1970,Le Pontet,2520099.649999998509884,1175580.690000001341105
Les Clées,dt5,fa2,27.199999999999999,744.500000000000000,100.000000000000000,0.740000000000000,743.000000000000000,25.699999999999999,1955,1/1/1955,Les Clées,2520749.638000000268221,1175120.697000000625849
Les Esserts,dt7,fa2,20.000000000000000,1517.000000000000000,310.000000000000000,0.245000000000000,1516.000000000000000,17.000000000000000,1973,1/1/1973,Les Esserts,2562809.201000001281500,1099860.412000000476837
Les Marécottes,dt4,fa2,12.000000000000000,1103.700000000000045,225.000000000000000,0.047000000000000,1103.250000000000000,11.550000000000001,1925,1/1/1954,Les Marécottes,2566529.269000001251698,1106480.309000000357628
Les Toules,dt8,fa2,86.000000000000000,1811.000000000000000,460.000000000000000,20.475999999999999,1810.000000000000000,86.000000000000000,1963,1/1/1963,Les Toules,2581539.059999998658895,1086090.122000001370907
Lessoc,dt2,fa2,32.399999999999999,776.899999999999977,90.000000000000000,1.290000000000000,773.750000000000000,23.750000000000000,1973,1/1/1976,Lessoc,2570429.655000001192093,1150610.168000001460314
Limmern,dt8,fa2,146.000000000000000,1858.700000000000045,370.000000000000000,93.000000000000000,1857.000000000000000,117.000000000000000,1963,1/1/1963,Limmern,2719750.644999999552965,1189489.640999998897314
Linthal,dt7,fa2,12.000000000000000,677.000000000000000,550.000000000000000,0.230000000000000,676.049999999999955,9.800000000000001,1964,1/1/1964,Linthal,2718220.660000000149012,1197449.631999999284744
Löbbia,dt5,fa2,26.000000000000000,1421.000000000000000,90.000000000000000,0.220000000000000,1418.000000000000000,15.500000000000000,1959,1/1/1959,Löbbia,2770751.041999999433756,1138339.576000001281500
